"";"id_ech";"Treatment";"Site";"Sub_site";"Plot";"Samples";"Horizon_name";"Lower_sample_level";"Sample_thickness";"Wet_weight_g";"Dry_weight";"Coarse_elts_dryweight";"Fine_elts_dryweight";"Water_content";"Volume_sample.cm3";"C_percent";"Total_thickness_horizon";"Bulk_density";"C_sample_density";"QuantiteC_horizontha";"Total_thickness_OrgaMin";"Total_thickness_Organic";"C_Quantity_totalprofiltha";"C_Quantity_totalprofil_Orga_tha";"Thickness_ref";"Thickness_refcontrolmodif";"Plot_peat_thickness";"Opening_canopy";"Air_Temp_average";"positif_Water_table_level";"Water_table_level_min";"Water_table_level_max";"Water_table_level_mean";"Air_Temp";"Std_erreur_Thick_ref";"plant_group";"CoverBryo_ref_all";"CL_DENS";"CL_PENT";"DEP_SUR";"CL_DRAI";"TYPE_ECO"
"1";"109";"Control";"Temoin1";"T1";"T1P1";"T1P1 F";"F";14;13;1281,3;151,5;10,06;128,53;0,881760712;2925;0,46229;39;0,0483555555555556;0,0223542897777778;87,1817301333333;84;79;219,954137870064;168,9481608;62;79;62,575;53,54666667;10,64;35;-35;0;-17,5;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"2";"110";"Control";"Temoin1";"T1";"T1P1";"T1P1 M";"M";45;6;808,3;118,3;0,99;117,31;0,853643449;1350;0,42315;12;0,0868962962962963;0,0367701677777778;44,1242013333333;84;79;219,954137870064;168,9481608;62;79;62,575;53,54666667;10,64;35;-35;0;-17,5;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"3";"111";"Control";"Temoin1";"T1";"T1P1";"T1P1 H";"H";65;5;205,6;95,3;0;95,3;0,536478599;1125;0,1587;28;0,0847111111111111;0,0134436533333333;37,6422293333333;84;79;219,954137870064;168,9481608;62;79;62,575;53,54666667;10,64;35;-35;0;-17,5;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"4";"112";"Control";"Temoin1";"T1";"T1P1";"T1P1 Min";"Min";79;5;176,4;113,2;1;112,2;0,358276644;98,125;0,089215;5;1,14343949044586;0,102011954140127;51,0059770700637;84;79;219,954137870064;168,9481608;62;79;62,575;53,54666667;10,64;35;-35;0;-17,5;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"5";"113";"Control";"Temoin1";"T1";"T1P2";"T1P2 F";"F";6;7;881,6;62,9;5,34;57,56;0,92865245;1575;0,50267;35;0,0365460317460317;0,0183705937777778;64,2970782222222;88;83;588,909582893985;556,507966486341;62;83;57,85;63,6;10,64;41,5;-41,5;-14,5;-28;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"6";"114";"Control";"Temoin1";"T1";"T1P2";"T1P2 M";"M";35;10;814,7;63,8;1,01;62,79;0,921688965;2250;0,50971;10;0,0279066666666667;0,0142243070666667;14,2243070666667;88;83;588,909582893985;556,507966486341;62;83;57,85;63,6;10,64;41,5;-41,5;-14,5;-28;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"7";"115";"Control";"Temoin1";"T1";"T1P2";"T1P2 H";"H";60;5;178,4;32,2;1,16;31,04;0,819506726;98,125;0,39764;38;0,316331210191083;0,125785942420382;477,986581197452;88;83;588,909582893985;556,507966486341;62;83;57,85;63,6;10,64;41,5;-41,5;-14,5;-28;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"8";"116";"Control";"Temoin1";"T1";"T1P2";"T1P2 Min";"Min";83;5;258,8;219,58;0;219,58;0,151545595;98,125;0,028959;5;2,23775796178344;0,0648032328152866;32,4016164076433;88;83;588,909582893985;556,507966486341;62;83;57,85;63,6;10,64;41,5;-41,5;-14,5;-28;NA;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"9";"117";"Control";"Temoin1";"T1";"T1P3";"T1P3 F";"F";10;4;805,8;137,2;5,89;131,31;0,829734425;900;0,47319;23;0,1459;0,069038421;158,7883683;79;74;722,665372511935;677,02226423168;62;74;63,025;52,51;10,64;35;-35;-16,5;-25,75;14,24856322;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
"10";"118";"Control";"Temoin1";"T1";"T1P3";"T1P3 M";"M";23;9;1290,8;161,4;11,43;149,97;0,874961264;2025;0,45202;9;0,0740592592592593;0,0334762663703704;30,1286397333333;79;74;722,665372511935;677,02226423168;62;74;63,025;52,51;10,64;35;-35;-16,5;-25,75;14,24856322;25;"Bryop_Feather";5,8;"B";"A";"4GA";50;"RE37"
